Accident_Index,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area
2016010001016,1,8,2,0,0,1
2016010001017,4,9,-1,-1,-1,1
2016010001020,1,1,1,0,0,1
2016010001021,1,9,2,-1,-1,1
2016010001024,1,9,-1,-1,-1,1
2016010001025,1,2,-1,0,-1,1
2016010001028,5,1,1,0,0,1
2016010001030,1,1,1,0,0,1
2016010001031,1,1,1,0,0,1
2016010001035,1,8,1,0,0,1
2016010001037,1,1,2,0,0,1
2016010001039,1,1,1,0,0,1
2016010001041,1,1,2,0,0,1
2016010001042,1,1,2,0,0,1
2016010001044,4,8,2,0,0,1
2016010001045,1,1,2,0,0,1
2016010001046,1,2,2,0,0,1
2016010001047,1,1,1,0,0,1
2016010001048,4,1,2,0,0,1
2016010001049,4,1,2,0,0,1
2016010001051,1,1,1,0,0,1
2016010001054,4,1,2,0,0,1
2016010001055,4,2,2,0,0,1
2016010001056,4,1,1,0,0,1
2016010001057,4,1,2,0,0,1
2016010001058,4,1,2,0,0,1
2016010001059,4,1,2,0,0,1
2016010001060,7,2,2,0,0,1
2016010001061,4,2,2,0,0,1
2016010001063,1,8,2,0,0,1
2016010001064,4,1,1,0,0,2
2016010001065,1,8,1,0,0,1
2016010001066,4,1,2,0,0,1
2016010001067,4,2,2,0,1,1
2016010001068,4,2,2,0,0,1
2016010001069,4,1,1,0,0,1
2016010001074,4,2,2,0,0,1
2016010001075,4,1,2,0,0,1
2016010001077,4,1,1,0,0,1
2016010001078,6,2,2,0,0,1
2016010001079,4,1,1,0,0,1
2016010001080,1,2,2,0,0,1
2016010001083,4,1,2,0,0,1
2016010001084,4,1,1,0,0,1
2016010001088,4,1,2,0,0,1
2016010001090,4,1,1,0,0,1
2016010001091,4,1,2,0,0,1
2016010001095,4,8,2,0,0,1
2016010001096,4,1,2,0,2,1
2016010001097,1,1,1,0,0,1
2016010001098,1,1,1,0,0,1
2016010001099,1,1,1,0,0,1
2016010001108,1,1,1,0,0,1
2016010001110,6,1,2,0,0,1
2016010001111,4,2,2,0,0,1
2016010001112,1,1,1,0,0,1
2016010001114,4,1,1,0,0,1
2016010001115,1,9,-1,-1,-1,1
2016010001118,1,1,2,0,0,1
2016010001119,1,1,1,0,0,1
2016010001120,1,9,-1,-1,-1,1
2016010001124,1,1,1,0,0,1
2016010001129,1,1,1,0,0,1
2016010001130,1,1,1,0,0,1
2016010001134,1,1,1,0,0,1
2016010001139,1,1,1,0,0,1
2016010001143,4,1,1,0,0,1
2016010001145,1,9,-1,-1,-1,1
2016010001146,1,1,1,0,2,1
2016010001149,1,1,1,0,0,1
2016010001150,1,1,2,0,0,2
2016010001152,1,1,1,0,0,1
2016010001154,4,1,1,0,0,1
2016010001155,1,1,1,0,0,1
2016010001157,1,1,1,0,0,1
2016010001158,1,1,1,0,0,1
2016010001160,4,2,2,0,0,1
2016010001161,1,1,1,0,0,1
2016010001162,7,9,-1,-1,-1,1
2016010001164,4,1,1,0,0,1
2016010001165,1,1,1,0,0,1
2016010001168,1,1,1,0,0,1
2016010001170,1,1,1,0,0,1
2016010001173,1,1,2,0,0,1
2016010001176,1,1,1,0,0,1
2016010001177,1,1,1,0,0,1
2016010001179,1,1,2,0,0,1
2016010001180,1,1,1,0,0,1
2016010001183,1,1,1,0,0,1
2016010001185,1,1,1,0,0,1
2016010001186,1,1,1,0,0,1
2016010001188,1,1,1,0,0,1
2016010001189,1,1,1,0,0,1
2016010001192,1,1,2,0,0,1
2016010001196,1,1,1,0,0,1
2016010001197,1,1,1,0,0,1
2016010001201,1,1,1,0,0,1
